Distortion,Example
Should Statements,"I must always be cheerful and positive, even when I'm not feeling it."
Should Statements,I shouldn't be feeling this much anxiety about something so minor.
Should Statements,"I should have started that project weeks ago, now I'm behind."
Should Statements,I ought to be able to manage my finances better.
Should Statements,I shouldn't need help with things I should already know.
Should Statements,"I must always be available for my friends, no matter the time."
Should Statements,"I should be sleeping more consistently, my sleep schedule is a mess."
Should Statements,I shouldn't feel so upset about constructive criticism.
Should Statements,I ought to be more productive in the mornings.
Should Statements,I should be able to balance work and personal life perfectly.
Should Statements,"I must always present a perfect image, flaws aren't acceptable."
Should Statements,"I shouldn't dwell on past mistakes, but I can't stop."
Should Statements,I should have anticipated that problem and prevented it.
Should Statements,I ought to be more articulate and well-spoken.
Should Statements,"I shouldn't indulge in any treats, I should stick to my diet rigidly."
Should Statements,I should always know the right thing to say in every situation.
Should Statements,I must never show weakness or vulnerability.
Should Statements,"I shouldn't compare myself to others, but I always do."
Should Statements,I should be able to learn new skills much faster than this.
Should Statements,I ought to be grateful for what I have and stop complaining.
Should Statements,"I shouldn't feel jealous, it's a terrible emotion."
Should Statements,I should always be in control of my emotions.
Should Statements,I must always be prepared for every possible contingency.
Should Statements,I shouldn't struggle with tasks that seem easy for everyone else.
Should Statements,I should be working on my side project instead of relaxing.
Should Statements,I ought to have a perfectly clean and organized home all the time.
Should Statements,"I shouldn't take things so personally, but it's hard."
Should Statements,"I should be happy all the time, shouldn't I?"
Should Statements,I must always be the one to initiate plans with my friends.
Should Statements,I shouldn't spend money on anything non-essential.
Should Statements,I should be perfectly calm before my presentation tomorrow.
Should Statements,I ought to be more disciplined with my daily routine.
Should Statements,"I shouldn't make mistakes, especially at work."
Should Statements,I should always know the answers to complex questions.
Labeling and Mislabeling,I totally bombed that presentation today; I'm just a complete professional failure.
Labeling and Mislabeling,Made a stupid mistake on the spreadsheet. Guess I'm just incompetent at my job.
Labeling and Mislabeling,Didn't get the promotion again. I'm clearly a mediocre employee who won't go anywhere.
Labeling and Mislabeling,"That client meeting was a disaster, I'm such a terrible communicator."
Labeling and Mislabeling,"I couldn't figure out that new software, so I must be technologically illiterate."
Labeling and Mislabeling,"My boss gave me feedback on my report, I'm such an underperformer."
Labeling and Mislabeling,"Missed the deadline on a small task, proves I'm just utterly disorganized and unreliable."
Labeling and Mislabeling,"I felt so overwhelmed by the new project, I'm just not cut out for this kind of work."
Labeling and Mislabeling,"Couldn't keep up with the fast pace today. I'm just a slow, inefficient worker."
Labeling and Mislabeling,Got a C on that essay. I'm just not smart enough for this subject.
Labeling and Mislabeling,I struggled to understand the lecture today; I'm such a slow learner.
Labeling and Mislabeling,Procrastinated on studying again. I'm a completely lazy and undisciplined student.
Labeling and Mislabeling,Didn't answer the professor's question correctly. I'm such an academic fraud.
Labeling and Mislabeling,Failed that pop quiz. I'm absolutely hopeless when it comes to exams.
Labeling and Mislabeling,"I can't grasp this math concept, I'm just inherently bad at numbers."
Labeling and Mislabeling,My group project contribution wasn't stellar; I'm a useless team member.
Labeling and Mislabeling,Skipped class again. I'm just an irresponsible student who can't commit.
Labeling and Mislabeling,"My friend didn't text back for hours, I must be a boring person they don't care about."
Labeling and Mislabeling,"We had a disagreement, and now I feel like I'm a terrible friend."
Labeling and Mislabeling,I said something awkward at the party. I'm such a social misfit.
Labeling and Mislabeling,My partner seemed distant tonight. I'm clearly unlovable and pushing everyone away.
Labeling and Mislabeling,My family critiques me constantly; I'm just a disappointment to them.
Labeling and Mislabeling,"I felt left out of their conversation. I'm always the outsider, a complete loner."
Labeling and Mislabeling,"I messed up my apology. I'm just bad at handling conflicts, a relationship destroyer."
Labeling and Mislabeling,Didn't get invited to the gathering. I'm completely insignificant to my social circle.
Labeling and Mislabeling,"I upset someone without meaning to. I'm just a hurtful person, always messing things up."
Labeling and Mislabeling,I looked in the mirror and felt disgusted; I'm just an unattractive person.
Labeling and Mislabeling,My thoughts are always so negative; I'm a truly pessimistic individual.
Labeling and Mislabeling,"I felt overwhelmed by stress today, I'm just inherently weak and can't cope."
Labeling and Mislabeling,I can never stick to my goals; I'm a total failure at self-improvement.
Labeling and Mislabeling,"I'm always doubting myself. I'm just an insecure, worthless individual."
Labeling and Mislabeling,I made a silly mistake in public. I'm such an embarrassment.
Labeling and Mislabeling,"I feel like I have nothing interesting to say. I'm just a boring, unoriginal person."
Labeling and Mislabeling,I didn't stand up for myself; I'm such a doormat.
Labeling and Mislabeling,I skipped my workout again today. I'm so lazy and undisciplined when it comes to fitness.
Labeling and Mislabeling,I ate that extra slice of cake. I'm such a glutton and have no self-control.
Labeling and Mislabeling,"Feeling tired and unmotivated. I'm just an unhealthy, perpetually exhausted person."
Labeling and Mislabeling,My diet went off track for one meal; I'm a complete failure at healthy eating.
Labeling and Mislabeling,I didn't manage to meditate this morning. I'm just bad at self-care.
Labeling and Mislabeling,"I couldn't get myself to go for that walk. I'm so inactive, a total couch potato."
Labeling and Mislabeling,I dropped my keys walking in the door. I'm so clumsy and uncoordinated.
Labeling and Mislabeling,Forgot to pick up milk from the store. I'm just so scatterbrained and forgetful.
Labeling and Mislabeling,"Got stuck in traffic, now I'm late. I'm such an unpunctual person, always behind."
Labeling and Mislabeling,"Spilled coffee on my shirt this morning. I'm such a messy, accident-prone individual."
Labeling and Mislabeling,I left my phone at home. I'm utterly irresponsible and can't keep track of anything.
Labeling and Mislabeling,Had trouble assembling that furniture. I'm totally useless at anything practical.
Labeling and Mislabeling,I didn't reply to that email immediately. I'm so unresponsive and inconsiderate.
Labeling and Mislabeling,"Couldn't find a parking spot. I'm so unlucky, everything always goes wrong for me."
Labeling and Mislabeling,I fumbled over my words ordering coffee. I'm such an awkward person.
Labeling and Mislabeling,"My plant died again. I'm just a terrible, neglectful caregiver for anything."
Personalization,My coworker was quiet today; I must have done something to upset them.
Personalization,"The team meeting felt tense, and I'm sure it's because I didn't prepare enough."
Personalization,"The barista seemed annoyed when I ordered, so I probably held up the line too long."
Personalization,"My friend canceled our plans, meaning they're tired of spending time with me."
Personalization,My presentation didn't go as smoothly as I hoped; I let my whole group down.
Personalization,The weather turned bad right when I planned my picnic; it's like the universe is against me personally.
Personalization,"My partner is stressed about work, and I feel like I'm not doing enough to help them."
Personalization,Someone looked unhappy walking past me; I must have seemed unwelcoming or done something wrong.
Personalization,"My child got a bad grade, and it's clearly because I haven't been supportive enough."
Personalization,"The company's sales are down, and I know I should have worked harder to prevent it."
Personalization,My neighbor didn't wave back; they're probably mad at me for something I don't even know.
Personalization,"I saw my friend talking intensely with someone else, and I bet they were complaining about me."
Personalization,"The whole atmosphere at the dinner party felt off, and I'm certain it was my fault for not being more engaging."
Personalization,"My dog seems a bit down today, and I blame myself for not taking him on a longer walk yesterday."
Personalization,"My professor looked tired during class, and I bet it's because our class is so demanding of his time."
Personalization,"The email from my boss was very brief, which means I must have annoyed them with my last question."
Personalization,"A car cut me off in traffic, and I immediately wondered if I had somehow provoked them."
Personalization,My sister hasn't called me back; she's definitely upset about something I said last week.
Personalization,"My plants are wilting, and it's entirely my fault for not having a green thumb."
Personalization,"I overheard laughter down the hall, and my first thought was that they were laughing at me."
Personalization,"The restaurant was unusually empty tonight, and I felt like I was somehow to blame for the lack of customers."
Personalization,My colleague didn't accept my LinkedIn request; I must have offended them at some point.
Personalization,"My sports team lost the game, and I feel personally responsible for our collective failure."
Personalization,"Someone yawned during my presentation, which means my content was clearly boring and that's on me."
Personalization,"My cat scratched the furniture, and I felt like a bad pet owner for not training him better."
Personalization,"The news report was depressing today, and I felt a surge of guilt, as if I should be doing more to fix world problems."
Personalization,My friend didn't tag me in her photo; she must not think I'm important enough to include.
Personalization,"My package was delayed, and I started thinking about what I could have done differently to ensure it arrived on time."
Personalization,"My coworker is sick, and I'm convinced I somehow gave them my lingering cold, even though I've been well for weeks."
Personalization,"The group project got a lower grade than expected, and I know it's because I wasn't good enough."
Personalization,My mom sounds stressed on the phone; I'm clearly adding to her burden.
Personalization,"My new hairstyle isn't getting many compliments, so I must look terrible."
Personalization,"The silence at dinner was deafening, and I knew it was because I hadn't initiated enough conversation."
Personalization,"My boss gave general feedback about team performance, but I took every point as a direct criticism of me."
Personalization,"The event I organized had a low turnout, and I feel personally responsible for its failure."
Personalization,My child came home upset from school; I must be doing something wrong as a parent.
Personalization,"I saw someone frown while reading their phone, and instantly assumed they were reacting to something I had posted."
Personalization,"My friend hasn't returned my text in hours, so I guess they're ignoring me on purpose."
Personalization,The doctor seemed rushed during my appointment; I'm sure I was taking up too much of their valuable time.
Personalization,"My favorite coffee shop ran out of my preferred pastry, and I felt like it was a personal affront to me."
Personalization,"My gym buddy looked discouraged today, and I kept thinking I was pushing them too hard."
Personalization,"The traffic was terrible this morning, and I felt like it was specifically put there to ruin my day."
Personalization,"My partner had a bad day at work, and I immediately felt responsible for not making things better for them."
Personalization,"The cashier at the store didn't smile, and I started replaying my transaction to see if I had done something wrong."
Personalization,"My group of friends decided on a different restaurant than I suggested, and I took it as a rejection of my taste."
Personalization,The news about the economy makes me feel personally like I'm not contributing enough to fix things.
Personalization,"My pet made a mess, and I felt a wave of shame for not being a more diligent trainer."
Personalization,"My colleague got a promotion, and I instantly felt like it was because I wasn't good enough or working hard enough."
Personalization,"The event had a slight technical glitch, and I felt completely responsible for the whole thing despite my minor role."
Personalization,"My friend had a bad reaction to some food, and I felt guilty for recommending the restaurant."
